| column_name                          | data_type                   | is_nullable |
| ------------------------------------ | --------------------------- | ----------- |
| id                                   | uuid                        | NO          |
| org_id                               | uuid                        | NO          |
| status                               | text                        | YES         |
| created_at                           | timestamp without time zone | YES         |
| updated_at                           | timestamp without time zone | YES         |
| fund_name                            | text                        | NO          |
| fund_legal_name                      | text                        | YES         |
| former_names                         | ARRAY                       | YES         |
| fund_type                            | text                        | YES         |
| vintage_year                         | integer                     | YES         |
| fund_series                          | text                        | YES         |
| is_blind_pool                        | boolean                     | YES         |
| description                          | text                        | YES         |
| gp_id                                | uuid                        | YES         |
| management_company_name              | text                        | YES         |
| fund_manager_type                    | text                        | YES         |
| key_person_clause_present            | boolean                     | YES         |
| legal_structure                      | text                        | YES         |
| domicile_country                     | text                        | YES         |
| domicile_jurisdiction                | text                        | YES         |
| regulator_names                      | ARRAY                       | YES         |
| registration_numbers                 | ARRAY                       | YES         |
| regulatory_status                    | text                        | YES         |
| target_fund_size                     | numeric                     | YES         |
| hard_cap                             | numeric                     | YES         |
| final_fund_size                      | numeric                     | YES         |
| currency                             | text                        | YES         |
| first_close_date                     | date                        | YES         |
| final_close_date                     | date                        | YES         |
| fundraising_status                   | text                        | YES         |
| investment_period_years              | numeric                     | YES         |
| fund_life_years                      | numeric                     | YES         |
| management_fee_structure             | text                        | YES         |
| carry_percent                        | numeric                     | YES         |
| hurdle_rate                          | numeric                     | YES         |
| recycling_allowed                    | boolean                     | YES         |
| asset_classes                        | ARRAY                       | YES         |
| investment_strategy                  | ARRAY                       | YES         |
| stage_focus                          | ARRAY                       | YES         |
| sector_focus                         | ARRAY                       | YES         |
| geographic_focus                     | ARRAY                       | YES         |
| ticket_size_min                      | numeric                     | YES         |
| ticket_size_max                      | numeric                     | YES         |
| ownership_preference                 | text                        | YES         |
| number_of_portfolio_companies        | integer                     | YES         |
| number_of_exits                      | integer                     | YES         |
| largest_investment_percent           | numeric                     | YES         |
| top_5_concentration_percent          | numeric                     | YES         |
| average_holding_period_years         | numeric                     | YES         |
| gross_irr                            | numeric                     | YES         |
| net_irr                              | numeric                     | YES         |
| tvpi                                 | numeric                     | YES         |
| dpi                                  | numeric                     | YES         |
| rvpi                                 | numeric                     | YES         |
| performance_as_of_date               | date                        | YES         |
| performance_transparency_level       | text                        | YES         |
| number_of_lps                        | integer                     | YES         |
| lp_type_mix                          | ARRAY                       | YES         |
| anchor_lp_present                    | boolean                     | YES         |
| anchor_lp_type                       | text                        | YES         |
| esg_policy_exists                    | boolean                     | YES         |
| esg_policy_public                    | boolean                     | YES         |
| esg_policy_url                       | text                        | YES         |
| esg_reporting_frequency              | text                        | YES         |
| esg_integrated_in_investment_process | boolean                     | YES         |
| esg_due_diligence_required           | boolean                     | YES         |
| exclusion_list_exists                | boolean                     | YES         |
| portfolio_esg_monitoring             | boolean                     | YES         |
| impact_fund_flag                     | boolean                     | YES         |
| impact_themes                        | ARRAY                       | YES         |
| side_letter_complexity               | text                        | YES         |
| compliance_function_exists           | boolean                     | YES         |
| audit_firm_name                      | text                        | YES         |
| valuation_policy_exists              | boolean                     | YES         |
| risk_management_framework            | boolean                     | YES         |
| recent_close_event                   | boolean                     | YES         |
| extension_exercised                  | boolean                     | YES         |
| strategy_shift_detected              | boolean                     | YES         |
| regulatory_event_flag                | boolean                     | YES         |
| last_updated_on                      | timestamp without time zone | YES         |
| last_updated_by                      | text                        | YES         |
| last_update_notes                    | text                        | YES         |
| update_trigger                       | text                        | YES         |
| service_providers                    | jsonb                       | YES         |
| assigned_to                          | text                        | YES         |
