| column_name                           | data_type                   | is_nullable |
| ------------------------------------- | --------------------------- | ----------- |
| id                                    | uuid                        | NO          |
| org_id                                | uuid                        | NO          |
| created_at                            | timestamp without time zone | YES         |
| updated_at                            | timestamp without time zone | YES         |
| status                                | text                        | YES         |
| lp_name                               | text                        | NO          |
| lp_legal_name                         | text                        | YES         |
| former_names                          | ARRAY                       | YES         |
| lp_type                               | text                        | NO          |
| lp_firm_type                          | text                        | NO          |
| legal_structure                       | text                        | YES         |
| year_established                      | integer                     | YES         |
| primary_jurisdiction                  | text                        | YES         |
| secondary_jurisdictions               | ARRAY                       | YES         |
| description                           | text                        | YES         |
| website                               | text                        | YES         |
| linkedin_url                          | text                        | YES         |
| logo_url                              | text                        | YES         |
| headquarters_country                  | text                        | YES         |
| headquarters_state                    | text                        | YES         |
| headquarters_city                     | text                        | YES         |
| operating_countries                   | ARRAY                       | YES         |
| operating_regions                     | ARRAY                       | YES         |
| ownership_type                        | text                        | YES         |
| governing_body_type                   | text                        | YES         |
| oversight_authority                   | text                        | YES         |
| investment_committee_exists           | boolean                     | YES         |
| ic_decision_frequency                 | text                        | YES         |
| voting_structure                      | text                        | YES         |
| external_advisors_used                | boolean                     | YES         |
| total_aum                             | numeric                     | YES         |
| aum_currency                          | text                        | YES         |
| aum_as_of_date                        | date                        | YES         |
| private_markets_aum                   | numeric                     | YES         |
| private_markets_allocation_percent    | numeric                     | YES         |
| annual_commitment_budget              | numeric                     | YES         |
| growth_trend                          | text                        | YES         |
| allocation_public_equity_percent      | numeric                     | YES         |
| allocation_fixed_income_percent       | numeric                     | YES         |
| allocation_cash_percent               | numeric                     | YES         |
| allocation_private_equity_percent     | numeric                     | YES         |
| allocation_venture_capital_percent    | numeric                     | YES         |
| allocation_private_credit_percent     | numeric                     | YES         |
| allocation_real_estate_percent        | numeric                     | YES         |
| allocation_infrastructure_percent     | numeric                     | YES         |
| allocation_natural_resources_percent  | numeric                     | YES         |
